"","pC","cn","pH","NPP","map","mat","forest","conifer","relEM"
"SRR1502337",6.2464216,14.6014128,4.06,0.54,6.41345895716736,5.23333335046967,1,1,95
"SRR1502338",19.22645938,19.14142656,3.53,0.54,6.46458830368996,5.10416668343047,1,1,100
"SRR1502339",28.26973109,30.79448917,2.97,0.57,6.43615036836943,5.35416664959242,1,1,100
"SRR1502340",33.86778577,20.876943,4.12,0.54,6.42971947803914,5.32916671192894,1,1,95
"SRR1502341",6.438094168,18.00914059,5.94,0.54,6.46146817635372,5.31666666517655,1,0,99
"SRR1502342",27.46645964,19.34425043,3.94,0.54,6.52941883826223,5.15000003824631,1,0,92
"SRR1502343",8.29674235,18.83554695,4.61,0.54,6.43454651878745,5.32916670292616,1,0,99
"SRR1502391",8.330678294,16.14266327,6.38,0.57,6.361302477573,6.95833338176211,1,0,95
"SRR1502399",37.74096578,31.65501919,3.15,0.54,6.42324696353352,6.56666664530834,1,1,100
"SRR1502402",40.15601322,22.44451826,5.05,0.57,6.34212141872115,7.01666670540969,1,1,96
"SRR1502406",8.66622253,20.46909137,4.81,0.57,6.39692965521615,6.82083335022132,1,0,96
"SRR1502407",7.256006836,17.59386435,4.98,0.57,6.40687998606931,6.75833333532016,1,0,94
"SRR1502408",9.797878265,14.00739707,6.69,0.54,6.4118182677099,6.42499987781048,1,0,86
"SRR1502409",29.23259429,26.00721001,6.33,0.57,6.39359075395063,6.66250002260009,1,1,100
"SRR1502410",8.448196732,16.09201765,6.87,0.57,6.40357419793482,6.84999996672074,1,0,96
"SRR1502412",12.61763118,16.010002,6.8,0.54,6.38350663488401,6.42916658179214,1,0,95
"SRR1502413",7.558033347,14.24903568,6.37,0.54,6.4723462945009,5.83750001713634,1,0,98
"SRR1502414",2.607423935,13.16029068,6.73,0.54,6.44094654063292,5.3416666785876,1,0,100
"SRR1502421",7.850792277,17.77167166,5.67,0.54,6.49828214947643,5.08333330197881,1,1,97
"SRR1502422",5.624944869,13.14156452,6.73,0.54,6.44730586254121,6.05416653615733,1,0,94
"SRR1502423",13.43381029,17.5518586,6.23,0.54,6.48616078894409,5.88333323442688,1,0,100
"SRR1502424",4.637627594,14.35095237,4.09,0.54,6.42486902390539,5.36250003334135,1,0,97
"SRR1502428",6.396395089,15.77474412,4.76,0.54,6.49828214947643,5.87083331247171,1,0,98.5
"SRR1502429",3.44573349,12.83768015,4.74,0.53,7.55799495853081,21.9249999721845,0,0,96
"SRR1502430",3.541219839,13.76341469,5,0.53,7.47079377419506,22.8000002503395,0,0,99
"SRR1502436",17.41164214,14.29673254,6.67,0.57,6.3818160174061,6.5500000367562,1,0,97
"SRR1502437",5.285751522,38.44257033,5.22,0.57,6.38687931936265,6.93750005960464,1,1,100
"SRR1502438",30.89482017,19.0111978,4.2,0.57,6.48463523563525,5.56250002235174,1,0,98
"SRR1502439",5.635154475,14.17134404,5.28,0.57,6.43133108193348,6.62916666083038,1,0,97
"SRR1502440",15.48372558,10.38530695,6.89,0.57,6.36990098282823,6.9666665494442,0,0,0
"SRR1502441",13.51391499,14.56157647,6.64,0.57,6.42162226780652,6.83749993890524,0,0,0.5
"SRR1502442",4.571053694,14.07319735,6.63,0.54,6.42324696353352,5.37083334879329,1,0,100
"SRR1502443",6.113025898,13.600796,4.81,0.57,6.47543271670409,5.32916659861803,1,0,100
"SRR1502444",5.317544032,14.22100092,5.63,0.57,6.41673228251233,6.42500001316269,1,0,100
"SRR1502462",15.29773086,17.58963612,5.04,0.59,6.5510803350434,4.52499999012798,1,0,99
"SRR1502463",26.32438574,16.19334572,3.68,0.55,6.71052310945243,0.733333304524422,1,0,99
"SRR1502464",26.56277252,21.214741,4.35,0.59,6.62671774924902,3.45833343577882,1,1,100
"SRR1502465",28.4222995,17.66481979,5.96,0.59,6.60665018619822,3.99583330005407,1,0,95
"SRR1502466",10.92049204,13.98651214,6.09,0.59,6.55250788703459,4.65000004383425,1,0,98
"SRR1502467",12.08297891,15.20890046,4.76,0.59,6.58202513889283,4.88750001291434,1,0,99
"SRR1502468",11.8862999,17.36415377,5.24,0.55,6.67329796776765,1.69583336512248,1,0,73
"SRR1502469",30.41165934,19.1143619,3.93,0.55,6.70686233660275,0.758333392441273,1,0,100
"SRR1502470",17.34667516,13.60888091,4.09,0.6,6.55393340402581,5.27916658421357,1,0,98
"SRR1502471",7.563135098,14.08748336,5.64,0.55,6.58892647753352,4.07083332041899,1,0,100
"SRR1502472",9.142921739,14.22547121,5.56,0.59,6.54391184556479,4.74583331743876,1,0,95
